generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,299.77,8.9943,8.5410,87,100,247
2,318.00,338.52,9.0829,8.4281,83,100,483
3,294.00,355.34,9.7229,8.9177,99,100,1962
4,335.00,394.77,9.6886,9.0515,99,100,3419
5,381.00,420.45,9.9486,9.2313,82,100,4766
6,403.00,455.09,10.0743,9.4599,86,100,6070
7,436.00,468.33,10.3714,9.4730,84,100,7343
8,446.00,477.73,10.4629,9.6786,94,100,8578
9,458.00,487.57,10.4171,9.6657,95,100,9764
10,459.00,492.74,10.3714,9.6613,81,100,10948
11,465.00,495.67,10.3771,9.7724,75,100,12160
12,463.00,494.80,10.4000,9.7326,61,100,13345
13,467.00,500.89,10.3800,9.8014,61,100,14511
14,473.00,497.11,10.1771,9.6653,36,100,15697
15,479.00,499.51,10.4571,9.5421,39,100,16860
16,479.00,496.30,10.6429,9.8836,20,100,18071
17,482.00,501.50,10.4829,10.0253,30,100,19283
18,482.00,498.88,10.6057,9.7854,32,100,20487
19,484.00,515.31,10.6200,10.1208,49,100,21671
20,482.00,509.12,10.8943,10.0625,49,100,22853
21,485.00,512.23,10.8543,10.2295,65,100,24073
22,473.00,514.17,10.8229,10.2680,70,100,25267
23,489.00,507.66,10.7171,10.1517,64,100,26439
24,493.00,511.59,10.8629,10.2705,51,100,27605
25,485.00,509.28,10.7514,9.9640,61,100,28769
26,492.00,513.13,10.7314,10.1613,60,100,29953
