generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,302.84,8.8971,8.5125,77,100,247
2,322.00,344.03,9.1543,8.4215,75,100,460
3,294.00,381.77,9.9971,9.0873,78,100,1786
4,325.00,422.81,10.3686,9.4234,79,100,3081
5,384.00,436.68,10.5171,9.4112,69,100,4342
6,399.00,459.56,10.4057,9.5442,82,100,5630
7,426.00,469.13,10.3943,9.4980,78,100,6868
8,436.00,474.66,10.5143,9.4690,68,100,8088
9,450.00,484.36,10.3971,9.5228,75,100,9290
10,456.00,488.65,10.5829,9.6656,78,100,10504
11,469.00,490.18,10.5714,9.6857,68,100,11720
12,469.00,490.05,10.3029,9.6389,60,100,12927
13,477.00,501.00,10.3857,9.9148,55,100,14120
14,473.00,502.47,10.5714,9.8379,51,100,15323
15,476.00,506.01,10.6257,9.9451,74,100,16555
16,478.00,502.28,10.5000,9.8170,81,100,17747
17,481.00,504.84,10.4971,9.8028,75,100,18937
18,483.00,503.57,10.5400,9.8181,70,100,20117
19,480.00,502.76,10.8029,10.0422,66,100,21305
20,482.00,510.37,10.9800,10.1538,59,100,22476
21,485.00,511.56,10.6600,10.1479,68,100,23665
22,482.00,504.91,10.6286,10.0471,75,100,24889
23,489.00,508.19,10.8286,10.0138,75,100,26093
24,489.00,506.70,10.6400,10.0016,70,100,27252
25,484.00,506.08,10.6829,10.0114,80,100,28437
26,486.00,507.24,10.6771,10.2027,46,100,29600
