generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,304.04,9.1400,8.5109,83,100,249
2,322.00,345.55,9.3714,8.4878,76,100,480
3,294.00,364.33,9.7629,9.0410,93,100,1924
4,317.00,389.72,10.2229,9.1428,93,100,3191
5,368.00,416.12,10.1371,9.2698,95,100,4475
6,395.00,440.43,10.4486,9.4582,94,100,5805
7,418.00,458.04,10.1000,9.3905,84,100,7110
8,423.00,466.33,10.0914,9.3883,87,100,8335
9,451.00,485.41,10.4543,9.5748,78,100,9529
10,455.00,493.60,10.6943,9.6005,91,100,10719
11,462.00,499.40,10.6257,9.4527,87,100,11923
12,473.00,509.30,10.4229,9.6874,84,100,13115
13,472.00,504.16,10.6371,9.5623,89,100,14328
14,483.00,507.26,10.5971,9.6673,82,100,15535
15,481.00,504.64,10.8000,9.6901,64,100,16761
16,471.00,509.13,10.5400,9.9530,45,100,17886
17,479.00,501.98,10.6543,9.7469,51,100,19088
18,480.00,520.08,10.6257,9.9987,72,100,20287
19,475.00,514.36,10.7143,9.8737,77,100,21460
20,481.00,507.29,10.5200,9.9138,76,100,22617
21,480.00,507.51,10.7571,9.9673,65,100,23763
22,480.00,503.40,10.7971,10.0494,57,100,24986
23,487.00,512.62,10.6229,10.1637,69,100,26211
24,486.00,510.43,10.8314,10.0374,63,100,27408
25,470.00,505.59,10.9829,9.9444,64,100,28611
26,484.00,508.13,10.7086,9.9728,45,100,29801
