generacion,mejor_asignaciones,promedio_asignaciones,mejor_separacion,promedio_separacion,soluciones_factibles,poblacion_total,tiempo_ms
1,294.00,301.61,8.8400,8.5103,77,100,259
2,322.00,342.09,9.3229,8.4330,75,100,467
3,294.00,365.10,9.6257,8.9990,89,100,1787
4,343.00,408.31,9.8800,9.1353,93,100,3113
5,367.00,423.55,9.9029,9.1717,91,100,4477
6,409.00,447.12,10.1143,9.3562,91,100,5793
7,413.00,457.01,10.0143,9.3261,78,100,7038
8,445.00,472.00,10.1714,9.4555,83,100,8265
9,450.00,476.32,10.3086,9.3290,85,100,9472
10,460.00,489.00,10.3571,9.6866,87,100,10726
11,469.00,493.13,10.3743,9.6674,84,100,11913
12,474.00,500.30,10.6457,9.6831,83,100,13089
13,480.00,502.80,10.5943,9.6974,75,100,14258
14,482.00,506.23,10.4829,9.8526,74,100,15464
15,481.00,504.96,10.6371,9.8140,69,100,16646
16,485.00,508.65,10.3914,9.9538,48,100,17832
17,479.00,508.47,10.7829,10.1034,32,100,19008
18,485.00,506.96,10.5829,10.0048,46,100,20184
19,478.00,507.25,10.7800,10.0977,53,100,21368
20,486.00,512.06,10.8600,10.1178,63,100,22560
21,485.00,519.44,10.6286,9.9841,64,100,23732
22,487.00,511.49,10.4600,9.9478,47,100,24879
23,483.00,512.42,10.6800,10.1391,43,100,26025
24,482.00,504.39,10.7171,10.1192,41,100,27190
25,478.00,505.68,10.9486,10.2385,62,100,28337
26,484.00,507.55,10.6743,10.1969,69,100,29470
